Gene	Gene description	Evidence
SLC8A1	Solute carrier family 8 member A1	Evidence at protein level
SLC8A2	Solute carrier family 8 member A2	Evidence at protein level
SLC9A3	Solute carrier family 9 member A3	Evidence at protein level
SLC9A3R2	SLC9A3 regulator 2	Evidence at protein level
SLC9A7	Solute carrier family 9 member A7	Evidence at protein level
SLC9B2	Solute carrier family 9 member B2	Evidence at protein level
SLCO2A1	Solute carrier organic anion transporter family member 2A1	Evidence at protein level
SLCO4A1	Solute carrier organic anion transporter family member 4A1	Evidence at protein level
SLF1	SMC5-SMC6 complex localization factor 1	Evidence at protein level
SLFN12	Schlafen family member 12	Evidence at protein level
SLIT2	Slit guidance ligand 2	Evidence at protein level
SLIT3	Slit guidance ligand 3	Evidence at protein level
SLITRK3	SLIT and NTRK like family member 3	Evidence at protein level
SLITRK4	SLIT and NTRK like family member 4	Evidence at protein level
SLITRK6	SLIT and NTRK like family member 6	Evidence at protein level
SLN	Sarcolipin	Evidence at protein level
SLPI	Secretory leukocyte peptidase inhibitor	Evidence at protein level
SLURP2	Secreted LY6/PLAUR domain containing 2	Evidence at protein level
SLX4	SLX4 structure-specific endonuclease subunit	Evidence at protein level
SLX4IP	SLX4 interacting protein	Evidence at protein level
SMAD6	SMAD family member 6	Evidence at protein level
SMAD9	SMAD family member 9	Evidence at protein level
SMAGP	Small cell adhesion glycoprotein	Evidence at protein level
SMARCA1	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1"	Evidence at protein level
SMARCB1	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1"	Evidence at protein level
SMC4	Structural maintenance of chromosomes 4	Evidence at protein level
SMIM1	Small integral membrane protein 1 (Vel blood group)	Evidence at protein level
SMIM10L2A	Small integral membrane protein 10 like 2A	Evidence at transcript level
SMIM10L2B	Small integral membrane protein 10 like 2B	Evidence at transcript level
SMIM22	Small integral membrane protein 22	Evidence at protein level
SMIM24	Small integral membrane protein 24	Evidence at protein level
SMIM5	Small integral membrane protein 5	Evidence at protein level
SMIM6	Small integral membrane protein 6	Evidence at transcript level
SMN2	"Survival of motor neuron 2, centromeric"	Evidence at protein level
SMO	"Smoothened, frizzled class receptor"	Evidence at protein level
SMOC1	SPARC related modular calcium binding 1	Evidence at protein level
SMOC2	SPARC related modular calcium binding 2	Evidence at protein level
SMPD3	Sphingomyelin phosphodiesterase 3	Evidence at protein level
SMPDL3B	Sphingomyelin phosphodiesterase acid like 3B	Evidence at protein level
SMPX	Small muscle protein X-linked	Evidence at protein level
SMTNL2	Smoothelin like 2	Evidence at protein level
SMURF1	SMAD specific E3 ubiquitin protein ligase 1	Evidence at protein level
SNAI1	Snail family transcriptional repressor 1	Evidence at protein level
SNAI2	Snail family transcriptional repressor 2	Evidence at protein level
SNAI3	Snail family transcriptional repressor 3	Evidence at transcript level
SNAP25	Synaptosome associated protein 25	Evidence at protein level
SNAP91	Synaptosome associated protein 91	Evidence at protein level
SNAPC4	Small nuclear RNA activating complex polypeptide 4	Evidence at protein level
SNCAIP	Synuclein alpha interacting protein	Evidence at protein level
SNCG	Synuclein gamma	Evidence at protein level
SNORC	Secondary ossification center associated regulator of chondrocyte maturation	Evidence at protein level
SNPH	Syntaphilin	Evidence at protein level
SNX10	Sorting nexin 10	Evidence at protein level
SNX14	Sorting nexin 14	Evidence at protein level
SNX20	Sorting nexin 20	Evidence at protein level
SNX21	Sorting nexin family member 21	Evidence at protein level
SNX22	Sorting nexin 22	Evidence at protein level
SNX33	Sorting nexin 33	Evidence at protein level
SNX7	Sorting nexin 7	Evidence at protein level
SOBP	Sine oculis binding protein homolog	Evidence at protein level
SOCS1	Suppressor of cytokine signaling 1	Evidence at protein level
SOD3	Superoxide dismutase 3	Evidence at protein level
SOGA1	"Suppressor of glucose, autophagy associated 1"	Evidence at protein level
SOGA3	SOGA family member 3	Evidence at protein level
SOHLH2	Spermatogenesis and oogenesis specific basic helix-loop-helix 2	Evidence at protein level
SORBS2	Sorbin and SH3 domain containing 2	Evidence at protein level
SORCS1	Sortilin related VPS10 domain containing receptor 1	Evidence at protein level
SORCS2	Sortilin related VPS10 domain containing receptor 2	Evidence at protein level
SOS1	SOS Ras/Rac guanine nucleotide exchange factor 1	Evidence at protein level
SOSTDC1	Sclerostin domain containing 1	Evidence at protein level
SOWAHA	Sosondowah ankyrin repeat domain family member A	Evidence at protein level
SOWAHB	Sosondowah ankyrin repeat domain family member B	Evidence at protein level
SOWAHC	Sosondowah ankyrin repeat domain family member C	Evidence at protein level
SOX10	SRY-box transcription factor 10	Evidence at protein level
SOX13	SRY-box transcription factor 13	Evidence at protein level
SOX15	SRY-box transcription factor 15	Evidence at protein level
SOX17	SRY-box transcription factor 17	Evidence at protein level
SOX18	SRY-box transcription factor 18	Evidence at protein level
SOX2	SRY-box transcription factor 2	Evidence at protein level
SOX5	SRY-box transcription factor 5	Evidence at protein level
SOX6	SRY-box transcription factor 6	Evidence at protein level
SOX7	SRY-box transcription factor 7	Evidence at protein level
SOX8	SRY-box transcription factor 8	Evidence at protein level
SOX9	SRY-box transcription factor 9	Evidence at protein level
SP140	SP140 nuclear body protein	Evidence at protein level
SP4	Sp4 transcription factor	Evidence at protein level
SP6	Sp6 transcription factor	Evidence at protein level
SPA17	Sperm autoantigenic protein 17	Evidence at protein level
SPAAR	Small regulatory polypeptide of amino acid response	Evidence at protein level
SPACDR	Sperm acrosome developmental regulator	Evidence at protein level
SPAG1	Sperm associated antigen 1	Evidence at protein level
SPAG17	Sperm associated antigen 17	Evidence at protein level
SPAG4	Sperm associated antigen 4	Evidence at protein level
SPAG5	Sperm associated antigen 5	Evidence at protein level
SPAG8	Sperm associated antigen 8	Evidence at protein level
SPARCL1	SPARC like 1	Evidence at protein level
SPATA18	Spermatogenesis associated 18	Evidence at protein level
SPATA25	Spermatogenesis associated 25	Evidence at protein level
SPATA2L	Spermatogenesis associated 2 like	Evidence at protein level
SPATA6	Spermatogenesis associated 6	Evidence at protein level
SPATA6L	Spermatogenesis associated 6 like	Evidence at protein level
SPATC1L	Spermatogenesis and centriole associated 1 like	Evidence at protein level
SPC24	SPC24 component of NDC80 kinetochore complex	Evidence at protein level
SPC25	SPC25 component of NDC80 kinetochore complex	Evidence at protein level
SPDEF	SAM pointed domain containing ETS transcription factor	Evidence at protein level
SPDYA	Speedy/RINGO cell cycle regulator family member A	Evidence at protein level
SPDYE2	Speedy/RINGO cell cycle regulator family member E2	Evidence at protein level
SPEF2	Sperm flagellar 2	Evidence at protein level
SPEG	Striated muscle enriched protein kinase	Evidence at protein level
SPESP1	Sperm equatorial segment protein 1	Evidence at protein level
SPHK1	Sphingosine kinase 1	Evidence at protein level
SPI1	Spi-1 proto-oncogene	Evidence at protein level
SPIN2A	Spindlin family member 2A	Evidence at protein level
SPIN3	Spindlin family member 3	Evidence at protein level
SPIN4	Spindlin family member 4	Evidence at protein level
SPINK1	Serine peptidase inhibitor Kazal type 1	Evidence at protein level
SPINK8	Serine peptidase inhibitor Kazal type 8 (putative)	Evidence at transcript level
SPINT1	"Serine peptidase inhibitor, Kunitz type 1"	Evidence at protein level
SPINT2	"Serine peptidase inhibitor, Kunitz type 2"	Evidence at protein level
SPIRE2	Spire type actin nucleation factor 2	Evidence at protein level
SPN	Sialophorin	Evidence at protein level
SPNS2	Sphingolipid transporter 2	Evidence at protein level
SPOCD1	SPOC domain containing 1	Evidence at protein level
SPOCK1	"SPARC (osteonectin), cwcv and kazal like domains proteoglycan 1"	Evidence at protein level
SPOCK3	"SPARC (osteonectin), cwcv and kazal like domains proteoglycan 3"	Evidence at protein level
SPON1	Spondin 1	Evidence at protein level
SPON2	Spondin 2	Evidence at protein level
SPP1	Secreted phosphoprotein 1	Evidence at protein level
SPR	Sepiapterin reductase	Evidence at protein level
SPRED1	Sprouty related EVH1 domain containing 1	Evidence at protein level
SPRN	Shadow of prion protein	Evidence at protein level
SPRR1A	Small proline rich protein 1A	Evidence at protein level
SPRR3	Small proline rich protein 3	Evidence at protein level
SPRY4	Sprouty RTK signaling antagonist 4	Evidence at protein level
SPTB	"Spectrin beta, erythrocytic"	Evidence at protein level
SPTBN2	"Spectrin beta, non-erythrocytic 2"	Evidence at protein level
SPTBN4	"Spectrin beta, non-erythrocytic 4"	Evidence at protein level
SPTBN5	"Spectrin beta, non-erythrocytic 5"	Evidence at protein level
SPTLC3	Serine palmitoyltransferase long chain base subunit 3	Evidence at protein level
SPTSSB	Serine palmitoyltransferase small subunit B	Evidence at protein level
SPX	Spexin hormone	Evidence at protein level
SRC	"SRC proto-oncogene, non-receptor tyrosine kinase"	Evidence at protein level
SRCAP	Snf2 related CREBBP activator protein	Evidence at protein level
SRCIN1	SRC kinase signaling inhibitor 1	Evidence at protein level
SRD5A1	Steroid 5 alpha-reductase 1	Evidence at protein level
SRGAP1	SLIT-ROBO Rho GTPase activating protein 1	Evidence at protein level
SRGAP3	SLIT-ROBO Rho GTPase activating protein 3	Evidence at protein level
SRL	Sarcalumenin	Evidence at protein level
SRPK3	SRSF protein kinase 3	Evidence at protein level
SRPX	Sushi repeat containing protein X-linked	Evidence at protein level
SRPX2	Sushi repeat containing protein X-linked 2	Evidence at protein level
SSC5D	Scavenger receptor cysteine rich family member with 5 domains	Evidence at protein level
SSPN	Sarcospan	Evidence at protein level
SST	Somatostatin	Evidence at protein level
SSTR1	Somatostatin receptor 1	Evidence at protein level
SSTR2	Somatostatin receptor 2	Evidence at protein level
ST14	ST14 transmembrane serine protease matriptase	Evidence at protein level
ST3GAL5	"ST3 beta-galactoside alpha-2,3-sialyltransferase 5"	Evidence at protein level
ST3GAL6	"ST3 beta-galactoside alpha-2,3-sialyltransferase 6"	Evidence at protein level
ST6GAL2	"ST6 beta-galactoside alpha-2,6-sialyltransferase 2"	Evidence at protein level
ST6GALNAC1	"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 1"	Evidence at protein level
ST6GALNAC3	"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 3"	Evidence at protein level
ST6GALNAC5	"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 5"	Evidence at protein level
ST8SIA1	"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1"	Evidence at protein level
ST8SIA4	"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4"	Evidence at protein level
STAB1	Stabilin 1	Evidence at protein level
STAC	SH3 and cysteine rich domain	Evidence at protein level
STAC2	SH3 and cysteine rich domain 2	Evidence at protein level
STAC3	SH3 and cysteine rich domain 3	Evidence at protein level
STAMBPL1	STAM binding protein like 1	Evidence at protein level
STAP2	Signal transducing adaptor family member 2	Evidence at protein level
STAR	Steroidogenic acute regulatory protein	Evidence at protein level
STARD13	StAR related lipid transfer domain containing 13	Evidence at protein level
STARD8	StAR related lipid transfer domain containing 8	Evidence at protein level
STARD9	StAR related lipid transfer domain containing 9	Evidence at protein level
STC1	Stanniocalcin 1	Evidence at protein level
STC2	Stanniocalcin 2	Evidence at protein level
STEAP1	STEAP family member 1	Evidence at protein level
STEAP2	STEAP2 metalloreductase	Evidence at protein level
STEAP3	STEAP3 metalloreductase	Evidence at protein level
STIMATE-MUSTN1	STIMATE-MUSTN1 readthrough	Evidence at transcript level
STING1	Stimulator of interferon response cGAMP interactor 1	Evidence at protein level
STK17A	Serine/threonine kinase 17a	Evidence at protein level
STK17B	Serine/threonine kinase 17b	Evidence at protein level
STK19	Serine/threonine kinase 19	Evidence at protein level
STK26	Serine/threonine kinase 26	Evidence at protein level
STK32A	Serine/threonine kinase 32A	Evidence at protein level
STK32B	Serine/threonine kinase 32B	Evidence at protein level
STK33	Serine/threonine kinase 33	Evidence at protein level
STMN2	Stathmin 2	Evidence at protein level
STON1	Stonin 1	Evidence at protein level
STON2	Stonin 2	Evidence at protein level
STOX1	Storkhead box 1	Evidence at protein level
STOX2	Storkhead box 2	Evidence at protein level
STRIP2	Striatin interacting protein 2	Evidence at protein level
STUM	"Stum, mechanosensory transduction mediator homolog"	Evidence at protein level
STX11	Syntaxin 11	Evidence at protein level
STX1A	Syntaxin 1A	Evidence at protein level
STX1B	Syntaxin 1B	Evidence at protein level
STXBP4	Syntaxin binding protein 4	Evidence at protein level
STXBP5	Syntaxin binding protein 5	Evidence at protein level
STXBP6	Syntaxin binding protein 6	Evidence at protein level
STYK1	Serine/threonine/tyrosine kinase 1	Evidence at protein level
SUGCT	Succinyl-CoA:glutarate-CoA transferase	Evidence at protein level
SULF1	Sulfatase 1	Evidence at protein level
SULT1A2	Sulfotransferase family 1A member 2	Evidence at protein level
SULT1A4	Sulfotransferase family 1A member 4	Evidence at protein level
SULT1B1	Sulfotransferase family 1B member 1	Evidence at protein level
SULT1C4	Sulfotransferase family 1C member 4	Evidence at protein level
SUPT3H	"SPT3 homolog, SAGA and STAGA complex component"	Evidence at protein level
SUSD2	Sushi domain containing 2	Evidence at protein level
SUSD3	Sushi domain containing 3	Evidence at protein level
SUSD4	Sushi domain containing 4	Evidence at protein level
SUSD5	Sushi domain containing 5	Evidence at protein level
SUV39H2	SUV39H2 histone lysine methyltransferase	Evidence at protein level
SV2A	Synaptic vesicle glycoprotein 2A	Evidence at protein level
SVEP1	"Sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1"	Evidence at protein level
SWSAP1	SWIM-type zinc finger 7 associated protein 1	Evidence at protein level
SYBU	Syntabulin	Evidence at protein level
SYCE1	Synaptonemal complex central element protein 1	Evidence at protein level
SYCE1L	Synaptonemal complex central element protein 1 like	Evidence at protein level
SYCE3	Synaptonemal complex central element protein 3	Evidence at protein level
SYCN	Syncollin	Evidence at protein level
SYCP2	Synaptonemal complex protein 2	Evidence at protein level
SYDE1	Synapse defective Rho GTPase homolog 1	Evidence at protein level
SYK	Spleen associated tyrosine kinase	Evidence at protein level
SYN1	Synapsin I	Evidence at protein level
SYN2	Synapsin II	Evidence at protein level
SYNC	"Syncoilin, intermediate filament protein"	Evidence at protein level
SYNDIG1	Synapse differentiation inducing 1	Evidence at protein level
SYNE3	Spectrin repeat containing nuclear envelope family member 3	Evidence at protein level
SYNE4	Spectrin repeat containing nuclear envelope family member 4	Evidence at protein level
SYNGR3	Synaptogyrin 3	Evidence at protein level
SYNJ2BP-COX16	SYNJ2BP-COX16 readthrough	Evidence at protein level
SYNM	Synemin	Evidence at protein level
SYNPO	Synaptopodin	Evidence at protein level
SYNPO2	Synaptopodin 2	Evidence at protein level
SYP	Synaptophysin	Evidence at protein level
SYPL2	Synaptophysin like 2	Evidence at protein level
SYT1	Synaptotagmin 1	Evidence at protein level
SYT12	Synaptotagmin 12	Evidence at protein level
SYT13	Synaptotagmin 13	Evidence at protein level
SYT15	Synaptotagmin 15	Evidence at protein level
SYT15B	Synaptotagmin 15B	Evidence at transcript level
SYT17	Synaptotagmin 17	Evidence at protein level
SYT4	Synaptotagmin 4	Evidence at protein level
SYT7	Synaptotagmin 7	Evidence at protein level
SYTL1	Synaptotagmin like 1	Evidence at protein level
SYTL3	Synaptotagmin like 3	Evidence at protein level
SYTL5	Synaptotagmin like 5	Evidence at protein level
SZT2	SZT2 subunit of KICSTOR complex	Evidence at protein level
TAC1	Tachykinin precursor 1	Evidence at protein level
TAC3	Tachykinin precursor 3	Evidence at protein level
TACC2	Transforming acidic coiled-coil containing protein 2	Evidence at protein level
TACR1	Tachykinin receptor 1	Evidence at protein level
TACR2	Tachykinin receptor 2	Evidence at protein level
TAF2	TATA-box binding protein associated factor 2	Evidence at protein level
TAF4	TATA-box binding protein associated factor 4	Evidence at protein level
TAF4B	TATA-box binding protein associated factor 4b	Evidence at protein level
TAF5	TATA-box binding protein associated factor 5	Evidence at protein level
TAFA2	TAFA chemokine like family member 2	Evidence at protein level
TAFA5	TAFA chemokine like family member 5	Evidence at protein level
TAGAP	T cell activation RhoGTPase activating protein	Evidence at protein level
TAGLN3	Transgelin 3	Evidence at protein level
TAL1	"TAL bHLH transcription factor 1, erythroid differentiation factor"	Evidence at protein level
TAMALIN	Trafficking regulator and scaffold protein tamalin	Evidence at protein level
TANC1	"Tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 1"	Evidence at protein level
TAP2	"Transporter 2, ATP binding cassette subfamily B member"	Evidence at protein level
TAPBPL	TAP binding protein like	Evidence at protein level
TAS2R14	Taste 2 receptor member 14	Evidence at protein level
TAS2R20	Taste 2 receptor member 20	Evidence at transcript level
TAS2R5	Taste 2 receptor member 5	Evidence at protein level
TASL	TLR adaptor interacting with endolysosomal SLC15A4	Evidence at protein level
TBC1D10C	TBC1 domain family member 10C	Evidence at protein level
TBC1D16	TBC1 domain family member 16	Evidence at protein level
TBC1D24	TBC1 domain family member 24	Evidence at protein level
TBC1D3	TBC1 domain family member 3	Evidence at protein level
TBC1D30	TBC1 domain family member 30	Evidence at protein level
TBC1D32	TBC1 domain family member 32	Evidence at protein level
TBC1D3B	TBC1 domain family member 3B	Evidence at protein level
TBC1D3C	TBC1 domain family member 3C	Evidence at protein level
TBC1D3D	TBC1 domain family member 3D	Evidence at protein level
TBCE	Tubulin folding cofactor E	Evidence at protein level
TBCE	Tubulin folding cofactor E	Evidence at protein level
TBL2	Transducin beta like 2	Evidence at protein level
TBL3	Transducin beta like 3	Evidence at protein level
TBX18	T-box transcription factor 18	Evidence at protein level
TBX19	T-box transcription factor 19	Evidence at protein level
TBX2	T-box transcription factor 2	Evidence at protein level
TBX3	T-box transcription factor 3	Evidence at protein level
TBX6	T-box transcription factor 6	Evidence at protein level
TBXA2R	Thromboxane A2 receptor	Evidence at protein level
TBXAS1	Thromboxane A synthase 1	Evidence at protein level
TC2N	"Tandem C2 domains, nuclear"	Evidence at protein level
TCAF2	TRPM8 channel associated factor 2	Evidence at protein level
TCAP	Titin-cap	Evidence at protein level
TCEA3	Transcription elongation factor A3	Evidence at protein level
TCEAL2	Transcription elongation factor A like 2	Evidence at protein level
TCEAL5	Transcription elongation factor A like 5	Evidence at protein level
TCEAL6	Transcription elongation factor A like 6	Evidence at protein level
TCEAL7	Transcription elongation factor A like 7	Evidence at protein level
TCEANC	Transcription elongation factor A N-terminal and central domain containing	Evidence at protein level
TCF19	Transcription factor 19	Evidence at protein level
TCF20	Transcription factor 20	Evidence at protein level
TCF7	Transcription factor 7	Evidence at protein level
TCIM	Transcriptional and immune response regulator	Evidence at protein level
TCIRG1	"T cell immune regulator 1, ATPase H+ transporting V0 subunit a3"	Evidence at protein level
TCP10L	T-complex 10 like	Evidence at protein level
TDGF1	Teratocarcinoma-derived growth factor 1	Evidence at protein level
TDRD10	Tudor domain containing 10	Evidence at protein level
TDRD6	Tudor domain containing 6	Evidence at protein level
TDRP	Testis development related protein	Evidence at protein level
TEAD1	TEA domain transcription factor 1	Evidence at protein level
TEAD2	TEA domain transcription factor 2	Evidence at protein level
TEAD3	TEA domain transcription factor 3	Evidence at protein level
TEAD4	TEA domain transcription factor 4	Evidence at protein level
TEDC1	Tubulin epsilon and delta complex 1	Evidence at protein level
TEF	"TEF transcription factor, PAR bZIP family member"	Evidence at protein level
TEK	TEK receptor tyrosine kinase	Evidence at protein level
TEKT2	Tektin 2	Evidence at protein level
TEKTIP1	Tektin bundle interacting protein 1	Evidence at protein level
TENM1	Teneurin transmembrane protein 1	Evidence at protein level
TENM3	Teneurin transmembrane protein 3	Evidence at protein level
TENM4	Teneurin transmembrane protein 4	Evidence at protein level
TENT4B	Terminal nucleotidyltransferase 4B	Evidence at protein level
TESC	Tescalcin	Evidence at protein level
TESPA1	"Thymocyte expressed, positive selection associated 1"	Evidence at protein level
TET2	Tet methylcytosine dioxygenase 2	Evidence at protein level
TET3	Tet methylcytosine dioxygenase 3	Evidence at protein level
TEX9	Testis expressed 9	Evidence at protein level
TFAP2A	Transcription factor AP-2 alpha	Evidence at protein level
TFAP2E	Transcription factor AP-2 epsilon	Evidence at protein level
TFAP4	Transcription factor AP-4	Evidence at protein level
TFCP2L1	Transcription factor CP2 like 1	Evidence at protein level
TFEC	Transcription factor EC	Evidence at protein level
TFF3	Trefoil factor 3	Evidence at protein level
TFPI2	Tissue factor pathway inhibitor 2	Evidence at protein level
TG	Thyroglobulin	Evidence at protein level
TGFA	Transforming growth factor alpha	Evidence at protein level
TGFB1	Transforming growth factor beta 1	Evidence at transcript level
TGFB1I1	Transforming growth factor beta 1 induced transcript 1	Evidence at protein level
TGFB2	Transforming growth factor beta 2	Evidence at protein level
TGM1	Transglutaminase 1	Evidence at protein level
TGM3	Transglutaminase 3	Evidence at protein level
THAP10	THAP domain containing 10	Evidence at protein level
THAP8	THAP domain containing 8	Evidence at protein level
THBD	Thrombomodulin	Evidence at protein level
THBS1	Thrombospondin 1	Evidence at protein level
THBS2	Thrombospondin 2	Evidence at protein level
THBS4	Thrombospondin 4	Evidence at protein level
THEM5	Thioesterase superfamily member 5	Evidence at protein level
THEMIS2	Thymocyte selection associated family member 2	Evidence at protein level
THNSL1	Threonine synthase like 1	Evidence at protein level
THNSL2	Threonine synthase like 2	Evidence at protein level
THPO	Thrombopoietin	Evidence at protein level
THRB	Thyroid hormone receptor beta	Evidence at protein level
THRSP	Thyroid hormone responsive	Evidence at protein level
THSD4	Thrombospondin type 1 domain containing 4	Evidence at protein level
THSD7A	Thrombospondin type 1 domain containing 7A	Evidence at protein level
THUMPD2	THUMP domain containing 2	Evidence at protein level
THY1	Thy-1 cell surface antigen	Evidence at protein level
TIAM1	TIAM Rac1 associated GEF 1	Evidence at protein level
TIAM2	TIAM Rac1 associated GEF 2	Evidence at protein level
TICAM1	TIR domain containing adaptor molecule 1	Evidence at protein level
TICAM2	TIR domain containing adaptor molecule 2	Evidence at protein level
TIE1	Tyrosine kinase with immunoglobulin like and EGF like domains 1	Evidence at protein level
TIGAR	TP53 induced glycolysis regulatory phosphatase	Evidence at protein level
TIGD2	Tigger transposable element derived 2	Evidence at protein level
TIGD5	Tigger transposable element derived 5	Evidence at protein level
TIGD7	Tigger transposable element derived 7	Evidence at protein level
TIMP4	TIMP metallopeptidase inhibitor 4	Evidence at protein level
TINAGL1	Tubulointerstitial nephritis antigen like 1	Evidence at protein level
TINCR	TINCR ubiquitin domain containing	Evidence at protein level
TK1	Thymidine kinase 1	Evidence at protein level
TLCD1	TLC domain containing 1	Evidence at protein level
TLCD4-RWDD3	TLCD4-RWDD3 readthrough	Evidence at transcript level
TLCD5	TLC domain containing 5	Evidence at transcript level
TLDC2	TBC/LysM-associated domain containing 2	Evidence at protein level
TLE6	"TLE family member 6, subcortical maternal complex member"	Evidence at protein level
TLL1	Tolloid like 1	Evidence at protein level
TLR1	Toll like receptor 1	Evidence at protein level
TLR3	Toll like receptor 3	Evidence at protein level
TLR5	Toll like receptor 5	Evidence at protein level
TLR6	Toll like receptor 6	Evidence at protein level
TLR7	Toll like receptor 7	Evidence at protein level
TM4SF18	Transmembrane 4 L six family member 18	Evidence at protein level
TM6SF1	Transmembrane 6 superfamily member 1	Evidence at protein level
TMC4	Transmembrane channel like 4	Evidence at transcript level
TMC6	Transmembrane channel like 6	Evidence at protein level
TMC7	Transmembrane channel like 7	Evidence at protein level
TMC8	Transmembrane channel like 8	Evidence at protein level
TMCC2	Transmembrane and coiled-coil domain family 2	Evidence at protein level
TMCC3	Transmembrane and coiled-coil domain family 3	Evidence at protein level
TMCO4	Transmembrane and coiled-coil domains 4	Evidence at protein level
TMCO6	Transmembrane and coiled-coil domains 6	Evidence at protein level
TMEM100	Transmembrane protein 100	Evidence at protein level
TMEM102	Transmembrane protein 102	Evidence at protein level
TMEM106A	Transmembrane protein 106A	Evidence at protein level
TMEM108	Transmembrane protein 108	Evidence at protein level
TMEM117	Transmembrane protein 117	Evidence at protein level
TMEM119	Transmembrane protein 119	Evidence at protein level
TMEM121	Transmembrane protein 121	Evidence at protein level
TMEM125	Transmembrane protein 125	Evidence at protein level
TMEM130	Transmembrane protein 130	Evidence at protein level
TMEM131L	Transmembrane 131 like	Evidence at protein level
TMEM132A	Transmembrane protein 132A	Evidence at protein level
TMEM132C	Transmembrane protein 132C	Evidence at protein level
TMEM139	Transmembrane protein 139	Evidence at protein level
TMEM144	Transmembrane protein 144	Evidence at protein level
TMEM145	Transmembrane protein 145	Evidence at protein level
TMEM158	Transmembrane protein 158	Evidence at protein level
TMEM160	Transmembrane protein 160	Evidence at protein level
TMEM163	Transmembrane protein 163	Evidence at protein level
TMEM17	Transmembrane protein 17	Evidence at protein level
TMEM170B	Transmembrane protein 170B	Evidence at protein level
TMEM178A	Transmembrane protein 178A	Evidence at protein level
TMEM178B	Transmembrane protein 178B	Evidence at protein level
TMEM182	Transmembrane protein 182	Evidence at protein level
TMEM198	Transmembrane protein 198	Evidence at protein level
TMEM200A	Transmembrane protein 200A	Evidence at protein level
TMEM200B	Transmembrane protein 200B	Evidence at protein level
TMEM204	Transmembrane protein 204	Evidence at protein level
TMEM212	Transmembrane protein 212	Evidence at transcript level
TMEM220	Transmembrane protein 220	Evidence at protein level
TMEM221	Transmembrane protein 221	Evidence at protein level
TMEM225B	Transmembrane protein 225B	Evidence at protein level
TMEM229B	Transmembrane protein 229B	Evidence at protein level
TMEM232	Transmembrane protein 232	Evidence at protein level
TMEM237	Transmembrane protein 237	Evidence at protein level
TMEM240	Transmembrane protein 240	Evidence at protein level
TMEM241	Transmembrane protein 241	Evidence at protein level
TMEM252	Transmembrane protein 252	Evidence at protein level
TMEM255A	Transmembrane protein 255A	Evidence at protein level
TMEM255B	Transmembrane protein 255B	Evidence at protein level
TMEM265	Transmembrane protein 265	Evidence at transcript level
TMEM35A	Transmembrane protein 35A	Evidence at protein level
TMEM37	Transmembrane protein 37	Evidence at protein level
TMEM38A	Transmembrane protein 38A	Evidence at protein level
TMEM39B	Transmembrane protein 39B	Evidence at protein level
TMEM44	Transmembrane protein 44	Evidence at protein level
TMEM45B	Transmembrane protein 45B	Evidence at protein level
TMEM47	Transmembrane protein 47	Evidence at protein level
TMEM51	Transmembrane protein 51	Evidence at protein level
TMEM52	Transmembrane protein 52	Evidence at protein level
TMEM54	Transmembrane protein 54	Evidence at protein level
TMEM59L	Transmembrane protein 59 like	Evidence at protein level
TMEM61	Transmembrane protein 61	Evidence at protein level
TMEM63C	Transmembrane protein 63C	Evidence at protein level
TMEM67	Transmembrane protein 67	Evidence at protein level
TMEM71	Transmembrane protein 71	Evidence at protein level
TMEM74B	Transmembrane protein 74B	Evidence at protein level
TMEM79	Transmembrane protein 79	Evidence at protein level
TMEM81	Transmembrane protein 81	Evidence at protein level
TMEM86A	Transmembrane protein 86A	Evidence at protein level
TMEM86B	Transmembrane protein 86B	Evidence at protein level
TMIE	Transmembrane inner ear	Evidence at protein level
TMOD2	Tropomodulin 2	Evidence at protein level
TMPRSS3	Transmembrane serine protease 3	Evidence at protein level
TMPRSS5	Transmembrane serine protease 5	Evidence at protein level
TMSB15A	Thymosin beta 15A	Evidence at protein level
TMSB15B	Thymosin beta 15B	Evidence at protein level
TMSB15B	Thymosin beta 15B	Evidence at transcript level
TMSB4Y	Thymosin beta 4 Y-linked	Evidence at protein level
TMTC1	Transmembrane O-mannosyltransferase targeting cadherins 1	Evidence at protein level
TMTC2	Transmembrane O-mannosyltransferase targeting cadherins 2	Evidence at protein level
TNF	Tumor necrosis factor	Evidence at protein level
TNFAIP6	TNF alpha induced protein 6	Evidence at protein level
TNFAIP8L1	TNF alpha induced protein 8 like 1	Evidence at protein level
TNFAIP8L2	TNF alpha induced protein 8 like 2	Evidence at protein level
TNFAIP8L3	TNF alpha induced protein 8 like 3	Evidence at protein level
TNFRSF10A	TNF receptor superfamily member 10a	Evidence at protein level
TNFRSF10D	TNF receptor superfamily member 10d	Evidence at protein level
TNFRSF11A	TNF receptor superfamily member 11a	Evidence at protein level
